# Derived from plans/adr/ by scripts/check_adr_anchors.py --write.
# plans/ never travels with an export (rule R2), so this copy is what the
# public `gates` job reads. Do not hand-edit: regenerate it in the same
# commit as the ADR change. The private tree fails if the two diverge.
adr	status	anchor_home	target
0016-a-shutdown-is-a-loop-phase-not-a-break.md	accepted	self	test:a_running_handler_holds_the_shutdown_until_it_finishes
0016-a-shutdown-is-a-loop-phase-not-a-break.md	accepted	self	test:a_hung_handler_ends_the_drain_at_the_deadline_and_is_named
0016-a-shutdown-is-a-loop-phase-not-a-break.md	accepted	self	test:a_three_second_drain_under_the_default_watchdog_exits_clean
0016-a-shutdown-is-a-loop-phase-not-a-break.md	accepted	self	code:LoopPhase
0016-a-shutdown-is-a-loop-phase-not-a-break.md	accepted	self	file:crates/meclaw-colony/src/drain.rs#is_quiescent
0017-a-declared-sleep-is-durable.md	accepted	self	test:a_mutation_that_does_not_name_it_never_wakes_it
0017-a-declared-sleep-is-durable.md	accepted	self	test:the_marker_survives_a_restart
0017-a-declared-sleep-is-durable.md	accepted	self	test:a_node_slept_by_remove_edges_carries_no_marker
0017-a-declared-sleep-is-durable.md	accepted	self	test:migrate_v7_to_v8_opens_an_old_db_and_adds_the_dormancy_marker
0017-a-declared-sleep-is-durable.md	accepted	self	code:RegistryEntry
0017-a-declared-sleep-is-durable.md	accepted	self	file:crates/meclaw-colony/src/persist/writer.rs#SetRegistryDormant
0018-a-registration-writes-down-the-activity-it-registers.md	accepted	self	test:an_island_derived_asleep_is_still_asleep_on_the_second_boot
0018-a-registration-writes-down-the-activity-it-registers.md	accepted	self	test:a_cell_grown_into_a_sleeping_island_is_persisted_asleep
0018-a-registration-writes-down-the-activity-it-registers.md	accepted	self	test:an_edge_into_the_island_wakes_it_and_the_third_boot_agrees
0018-a-registration-writes-down-the-activity-it-registers.md	accepted	self	test:an_edgeless_cell_keeps_its_grace_across_a_reboot
0018-a-registration-writes-down-the-activity-it-registers.md	accepted	self	file:crates/meclaw-colony/src/bootstrap_apply.rs#GH #437 / GH #495
0019-one-hive-several-askers-the-reply-to-token.md	accepted	self	test:two_simultaneous_recalls_come_home_to_the_two_askers
0019-one-hive-several-askers-the-reply-to-token.md	accepted	self	test:a_refused_recall_reaches_the_asker_instead_of_its_idle_window
0019-one-hive-several-askers-the-reply-to-token.md	accepted	self	test:the_hive_hands_the_token_back_on_the_hop_and_never_deletes_it
0019-one-hive-several-askers-the-reply-to-token.md	accepted	self	test:the_core_reads_a_hop_key_and_the_surface_is_the_default
0019-one-hive-several-askers-the-reply-to-token.md	accepted	self	test:each_asker_stamps_its_own_name_on_the_way_out
0019-one-hive-several-askers-the-reply-to-token.md	accepted	self	test:a_bundle_with_no_token_still_goes_where_every_bundle_went
0019-one-hive-several-askers-the-reply-to-token.md	accepted	self	file:templates/assistant/README.md#One hive, two askers
